desc,wordId
"    Chỉ phẫu thuật  TICRON  (36 tép / hộp)  8886327141 mới 100%, nhà sản xuất: Covidien, năm sản xuất:2015",Ticron
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC  PLAIN   PREMIUM USP  3/0, 1,5M",Plain
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC  PLAIN PREMIUM USP  2/0, 1,5M",Plain
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC CHROMIC  PREMIUM USP  0  , 1,5M",Chromic
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC CHROMIC  PREMIUM USP  0  , 1,5M, HÃNG SẢN XUẤT COFIBAM, BRAZIL",Chromic
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC CHROMIC  PREMIUM USP  3/0  , 1,5M",Chromic
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC CHROMIC  PREMIUM USP  5/0  , 1,5M",Chromic
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC CHROMIC  PREMIUM USP  6/0  , 1,5M",Chromic
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC CHROMIC  PREMIUM USP 0  , 1,5M",Chromic
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC CHROMIC  PREMIUM USP 1 , 1,5M",Chromic
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC CHROMIC  PREMIUM USP 2  , 1,5M",Chromic
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC CHROMIC  PREMIUM USP 2  , 1,5M, HÃNG SẢN XUẤT COFIBAM, BRAZIL",Chromic
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC CHROMIC  PREMIUM USP 2/0  , 1,5M",Chromic
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC CHROMIC  PREMIUM USP 2/0  , 1,5M, HÃNG SẢN XUẤT COFIBAM, BRAZIL",Chromic
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC CHROMIC  PREMIUM USP 4/0  , 1,5M",Chromic
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC PLAIN  PREMIUM USP 0 , 1,5M",Plain
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC PLAIN  PREMIUM USP 0 , 1,5M, HÃNG SẢN XUẤT COFIBAM, BRAZIL",Plain
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC PLAIN  PREMIUM USP 1 , 1,5M",Plain
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC PLAIN  PREMIUM USP 1 , 1,5M, HÃNG SẢN XUẤT COFIBAM, BRAZIL",Plain
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC PLAIN  PREMIUM USP 2 , 1,5M",Plain
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC PLAIN  PREMIUM USP 2 , 1,5M, HÃNG SẢN XUẤT COFIBAM, BRAZIL",Plain
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC PLAIN  PREMIUM USP 2/0 , 1,5M",Plain
"  CHỈ  KHÂU PHẪU THUẬT TỰ TIÊU SINH HỌC PLAIN  PREMIUM USP 2/0 , 1,5M, HÃNG SẢN XUẤT COFIBAM, BRAZIL",Plain
 AR-7200 Chỉ fiber wire.Vật liệu cấy ghép trong cơ thề lâu dài (trên 30 ngày) GP BYT.Hàng y tế. Hàng mới 100%  Do hãng Arthrex sản xuất,#N/A
" Chỉ đơn sợi không tiêu polyamide 6 Brilon B27CD240. HSX: Vigilenz Medical Devices sdn bhd, NSX: Malaysia. Năm SX: 2014. Mới 100%. Hộp 12 tép",POLYAMIDE
" Chỉ đơn sợi không tiêu polyamide 6 Brilon B37CD240. HSX: Vigilenz Medical Devices sdn bhd, NSX: Malaysia. Năm SX: 2014. Mới 100%. Hộp 12 tép",POLYAMIDE
" Chỉ đơn sợi không tiêu polyamide 6 Brilon B47CD190. HSX: Vigilenz Medical Devices sdn bhd, NSX: Malaysia. Năm SX: 2014. Mới 100%. Hộp 12 tép",POLYAMIDE
" Chỉ đơn sợi không tiêu polyamide 6 Brilon B57CD160. HSX: Vigilenz Medical Devices sdn bhd, NSX: Malaysia. Năm SX: 2014. Mới 100%. Hộp 12 tép",POLYAMIDE
" Chỉ khâu phẫu thuật NYLON DACLON MONOFIL 75 CM EP 1.5 USP 4/0 NEEDLE 1/2 CIR TAPER 26 MM. Hàng mới 100%, SX năm 2017, lô 170102, hạn sử dụng 01/2022",Daclon
" Chỉ khâu phẫu thuật NYLON DACLON MONOFIL 75 CM EP 1.5 USP 4/0 NEEDLE 3/8 CIR CUT. 19 MM. Hàng mới 100%, SX năm 2017, lô 170407, hạn sử dụng 04/2022",Daclon
" Chỉ khâu phẫu thuật NYLON DACLON MONOFIL 75 CM EP 3 USP 2/0 NEEDLE 1/2 CIR TAPER 26 MM. Hàng mới 100%, SX năm 2017, lô 170505, hạn sử dụng 05/2022",Daclon
" Chỉ khâu phẫu thuật NYLON DACLON USP 10/0 30 CM 2 NEEDLE 1/2 CIRC.SPATULED 6.20 MM 150m. Hàng mới 100%, SX năm 2017, lô 160801, hạn sử dụng 08/2021",Daclon
" Chỉ khâu phẫu thuật tiệt trùng - tự tiêu( Megasorb Sterilized Surgical Needled Suture( Dyed & Undyed)) cỡ số 0, x 90, 40mm,batch:IB17002, 12 chiếc/tá,hãng Meril Endo Surgery pvt.ltd,Mới 100%",Megasorb
" Chỉ khâu phẫu thuật tiệt trùng - tự tiêu( Megasorb Sterilized Surgical Needled Suture( Dyed & Undyed)) cỡ số 1, x 90, 40mm,batch:IB16005,12 chiếc/tá,hãng Meril Endo Surgery pvt.ltd,Mới 100%",Megasorb
" Chỉ khâu phẫu thuật tiệt trùng - tự tiêu( Megasorb Sterilized Surgical Needled Suture( Dyed & Undyed)) cỡ số 2- 0, x 70, 26mm,batch:IB17001,12 chiếc/tá,,hãng Meril Endo Surgery pvt.ltd,Mới 100%",Megasorb
" Chỉ khâu phẫu thuật tiệt trùng - tự tiêu( Megasorb Sterilized Surgical Needled Suture( Dyed & Undyed)) cỡ số 3-0, x 75, 26mm,batch:IB16003,12 chiếc/tá,hãng Meril Endo Surgery pvt.ltd,Mới 100%",Megasorb
" Chỉ khâu phẫu thuật tiệt trùng - tự tiêu( Megasorb Sterilized Surgical Needled Suture( Dyed & Undyed)) cỡ số 4-0, x 75, 22mm,batch:IB16002,12 chiếc/tá,,hãng Meril Endo Surgery pvt.ltd,Mới 100%",Megasorb
