,desc,wordId
8057,"Chỉ phẩu thuật: CHROMIC CATGUT 2/0 USP SIZE. (Hàng mới 100%, 150 cm/ Sợi). Nhà sản xuất: SMI A.G. Số lô: 1407147 & 1406088 & 1407155. SX: 01/2015. HD: 01/2020.",CatGut
866,"Chỉ khâu phẫu thuật - NOVOSYN VIOLET 0 (3,5) 90CM HR40S (M) (PAC/36PCS) (C0068556). Hàng mới 100%. HSX:B.BRAUN",NOVOSYN
1524,Chỉ Khâu Phẫu Thuật (C0935123). Chủng loại: DAFILON BLUE 5/0 75CM DS16 (PAC/36PCS). Hãng sx: B.Braun Surgical SA. Năm sx: 2015. Hàng mới 100%,DAFILON
8248,"Chỉ y tế Progut đường kính 20mm, loại 3-0, dài 76cm. NSX: 11/2014, HSD: 10/2019",GUT
8623,ETHILON BLK 13CM M0.2 10/0 BV130-4 _Chỉ phẫu thuật tổng hợp không tiêu tiệt trùng_Model W2814_ Hiệu Ethicon_ Hộp 12 cái_Hàng mới 100%,ETHILON
2679,"Chỉ khâu phẫu thuật liền kim JBP V Lift  29046A; 29G, cỡ 40mm, 100 chiếc/hộp. Hãng Sản xuất: Feeltech Co., Ltd; sản xuất: năm 2016;  dùng trong y tế. Hàng mới 100%",
7084,"Chỉ phẫu thuật vô trùng mới 100% nhãn hiệu Catgut chrom có thời gian tự tiêu 20 ngày số 3/0 dài 75cm kim 3/8 kim tam giác vòng kim 24mm. Năm sản xuất: 2014 trở đi, hãng sản xuất SMI AG",CatGut
4018,"Chỉ khâu phẫu thuật vô trùng sợi đơn Polyamide 3-0, dài 75cm, kim tròn nửa vòng dài 26mm  (Model: TRULON 3-0) (Hàng mới 100% do hãng Sutures India PVT/ Ấn Độ Sản Xuất) NSX: năm 2015",TRULON
11853,"CHỈ PHẪU THUẬT LOẠI  SURGICRYL PGA EP 3.5 USP 0 NEEDLE 1/2 CIR TAPER 36MM/90CM HÀNG MỚI 100%. SX 2016, LÔ SX 151217, HẠN DÙNG 11-2020",Surgicryl PGA
11615,"SP-1646#&Miếng vá sọ titan bộ 2.0mm, cỡ 150x150mm của Bộ cố định sọ hàm mặt bằng titan cỡ 1.5/2.0/2.3/2.4mm - 2.0MM MESH PANEL, 150X150MM (thuộc model LORENZ PLATING SYSTEM MIDFACE 1.5/2.0MM, hãng sx:",MESH
5775,CHỈ PHẪU THUẬT LOẠI DACLON NYLON USP 10/0 30 CM 2 NEEDLE 1/2 CIRC.SPATULED 6.20  MM 150mm. HÀNG MỚI 100%,Daclon
4389,"Chỉ khâu phẫu thuật: OPTIME 1 1/2 R40 90CM, 3 Lô: 20688,22103,22105 năm sx: 2015, hd: 2020, nhà sx: Peter surgical, hàng mới 100%",OPTIME
2957,"Chỉ khâu phẫu thuật mắt 4353 loại không tự tiêu, chất liệu Polyester (12 sợi/hộp). Hãng sản xuất Mani, Inc Nhật. Hàng mới 100%",Polyester
7096,"Chỉ phẫu thuật vô trùng mới 100% nhãn hiệu Catgut plain có thời gian tự tiêu 14 ngày số 0 dài 75cm kim 1/2 kim tròn vòng kim 37mm. Năm sản xuất : 2014 trở đi, hãng sản xuất SMI AG",CatGut
6318,"Chỉ phẫu thuật NYLON DACLON MONOFIL 75 CM EP 3 USP 2/0 NEEDLE 3/8 CIR CUT. 24 MM. Hàng mới 100%, SX năm 2016, LÔ 161005, hạn sử dụng 10/2021",Daclon
2530,"Chỉ khâu phẫu thuật không tiêu, dùng trong y tế 72021 (CARDIONYL 6/0 3/8 R12    80CM ).Hàng mới 100%",Cardionyl
1636,"Chỉ Khâu Phẫu Thuật (C1048042) - Chủng loại:  SAFIL, 2/0 (3) 70CM HR26 (M) 1PAC=36PC, Hãng sx:B.BRAUN SURGICAL SA, Năm sx:2016. Hàng mới 100%",SAFIL
271,"CHỈ  PHẪU THUẬT KHÔNG TỰ TIÊU   POLYAMIDE 6-6.6 BLACK  USP 6/0,EF 0.7, 12F0090R",POLYAMIDE
6567,"Chỉ phẫu thuật Silk không tiêu tự nhiên, tiệt trùng, đa sợi bện số 4/0, chiều dài sợi chỉ 45cm, sợi chỉ màu đen, 12 sợi/hộp,code: SK164019F4P, nsx: DemeTECH,mới100%",SILK
11107,VICRYL VIO 30CM M0.5 7/0 TG140-8_Chỉ phẫu thuật tổng hợp tự tiêu tiệt trùng _Model W9561_ Hiệu Ethicon_Hộp 10 cái_Hàng mới 100%,VICRYL
3060,"Chỉ khâu phẩu thuật Pegelak 4/0 16 1/2, 75cm, 12 tép/hộp. Mã hàng: L3160. Hãng sx : DOGSAN TIBBI MAIZEME SAN.A.S. Năm sản xuất : 2015-2016. Hàng mới 100%",Pegelak
9920,PROLENE BLU 90CM M1 5/0 RB-1 VB_Chỉ phẫu thuật tổng hợp đơn sợi không tiêu vô trùng_Hiệu Ethicon_Product code W8330_Hộp 12 cái_Hàng mới 100%_Loại D,PROLENE
3487,"Chỉ khâu phẫu thuật Suture-Syneture(Polysorb* 3-0 75cm V-20), loại tự tiêu, mã:GL122, 36 cuộn/hộp.Mới:100%, sản xuất năm 2014. Hãng SX: Covidien",Polysorb
42, Chỉ phẫu thuật - SURGIPRO* II 6-0 75CM 2XV-11 (VP706X) (Hộp/36 sợi),Surgipro
7996,"Chỉ phẫu thuật, chủng loại V-LOC TM180 Absorbable Wound Closure Device, mã sp VLOCL0325, 12 sợi/hộp, hãng sx Covidien, mới 100%",VLOC
9448,PDS II 4/0 70CM 20MM 0.5C VIO_Chỉ phẫu thuật tổng hợp đơn sợi tự tiêu tiệt trùng_Hiệu Ethicon_Product code W9115H_Hộp 36 cái_Hàng mới 100%_Loại D,PDS
7951,"Chỉ phẫu thuật, chủng loại Surgipro TM II Monofilament Polypropylene, 36 sợi/hộp, hãng sản xuất Covidien, hàng mới 100%, mã sp VP710X",Surgipro
