descVec,wordIdVec
"[0, 2430, 3956, 4690, 2419, 2340, 775, 43, 4881, 4398, 3138, 3605, 194, 438, 2459, 4631, 3663, 4627, 5286, 4431, 1887, 2905, 4629, 3364, 399, 396, 400, 4549, 55, 796, 3064, 55, 806, 1]","[0, 2340, 1]"
"[0, 2430, 3212, 3957, 4690, 3, 3733, 4948, 43, 1203, 1426, 1833, 3104, 3414, 3820, 1315, 2179, 3138, 3605, 194, 3127, 1952, 2053, 1]","[0, 3733, 1]"
"[0, 2430, 3212, 3957, 4690, 2198, 2436, 3327, 2594, 2037, 1426, 43, 1645, 2667, 3820, 1315, 3140, 4549, 1952, 2053, 4528, 4307, 3762, 4549, 796, 3138, 3605, 194, 1]","[0, 2594, 1]"
"[0, 2430, 5291, 4812, 4096, 5338, 3256, 875, 3327, 1204, 2709, 1652, 3740, 286, 794, 3126, 186, 805, 1]","[0, 3036, 1]"
"[0, 2802, 2034, 383, 3415, 775, 186, 43, 2064, 2430, 3957, 4690, 4844, 3154, 3213, 4729, 4733, 4777, 3524, 5066, 3081, 2799, 3152, 325, 2563, 3138, 3605, 194, 1]","[0, 2802, 1]"
"[0, 2430, 3212, 3957, 4690, 3311, 3218, 3199, 4894, 3304, 1081, 1092, 2579, 1363, 194, 2412, 3152, 3140, 4627, 5286, 2839, 2464, 3335, 4627, 5286, 3762, 800, 2714, 4763, 5291, 4812, 3138, 3605, 194, 1]","[0, 1]"
"[0, 2430, 3957, 4690, 5034, 4777, 3605, 194, 3664, 3081, 2340, 2417, 2567, 4717, 2984, 4848, 4729, 784, 3657, 4629, 1203, 43, 2709, 1645, 3218, 1203, 1662, 3218, 4647, 2986, 5033, 3218, 1000, 3762, 4627, 5286, 794, 4784, 5330, 3140, 4627, 5286, 4431, 1911, 1]","[0, 2340, 1]"
"[0, 2430, 3212, 3957, 4690, 5034, 4777, 4631, 5337, 4011, 1204, 2709, 1645, 3218, 4776, 3771, 5033, 2709, 1044, 3524, 4768, 1204, 3138, 3605, 194, 2644, 3140, 4544, 3180, 4135, 5352, 5348, 4627, 5286, 3740, 3762, 796, 1]","[0, 4768, 1]"
"[0, 2430, 3957, 4690, 3327, 4532, 3911, 2784, 1203, 1426, 4881, 43, 3645, 183, 775, 2438, 4653, 1313, 1833, 3138, 3605, 194, 4549, 800, 3364, 4549, 477, 3146, 2714, 290, 1]","[0, 4532, 3911, 1]"
"[0, 4460, 3512, 5030, 4628, 4728, 2082, 775, 166, 2579, 465, 2581, 2082, 2577, 5346, 4628, 3136, 3600, 2078, 4728, 2579, 183, 1426, 775, 43, 775, 1203, 775, 1415, 3, 775, 166, 3491, 3824, 465, 4704, 3524, 3324, 3975, 4621, 3509, 183, 1426, 775, 166, 3140, 4549, 1]","[0, 3491, 1]"
"[0, 2430, 3957, 4690, 3327, 2591, 3755, 4881, 186, 43, 1208, 2459, 775, 3645, 183, 775, 2439, 4466, 1544, 784, 3516, 462, 3138, 3605, 194, 1]","[0, 2591, 1]"
"[0, 2430, 3212, 3957, 4690, 3782, 183, 183, 775, 4193, 1833, 1203, 3364, 846, 927, 929, 3762, 4549, 796, 3064, 806, 3663, 4549, 3896, 4528, 3138, 3605, 194, 1]","[0, 3782, 1]"
"[0, 2430, 3212, 3957, 4690, 3599, 1382, 3327, 3213, 4848, 4729, 2426, 3312, 4016, 325, 4631, 3152, 3140, 4627, 5286, 3453, 3177, 3666, 3138, 3605, 194, 1]","[0, 4016, 1]"
"[0, 2430, 3957, 4690, 5034, 4777, 3605, 194, 3664, 3081, 2340, 3974, 2567, 4717, 2984, 4848, 4729, 389, 3657, 4629, 43, 2709, 1645, 3218, 183, 775, 3218, 4776, 5033, 3218, 1319, 3762, 4627, 5286, 794, 4784, 5330, 3140, 4627, 5286, 4431, 1911, 1]","[0, 2340, 1]"
"[0, 2430, 3957, 4690, 3755, 2591, 3538, 1636, 2459, 2784, 1203, 4881, 775, 43, 3645, 1203, 1662, 2438, 2542, 974, 3516, 3138, 3605, 194, 4549, 3762, 800, 3364, 561, 3146, 4634, 2718, 186, 807, 1]","[0, 2591, 1]"
"[0, 2430, 3212, 3957, 4690, 3213, 4729, 2714, 4763, 5291, 4812, 1614, 2331, 1544, 43, 1203, 1662, 4159, 1676, 3138, 3605, 194, 1]","[0, 2331, 1]"
"[0, 2430, 3212, 3957, 4690, 2224, 3, 2436, 3327, 4308, 775, 43, 1203, 1606, 3093, 3414, 757, 1314, 3140, 4549, 1952, 2053, 4528, 4307, 3762, 4549, 800, 3138, 3605, 194, 1]","[0, 4308, 1]"
"[0, 2430, 3957, 4690, 3213, 4848, 4729, 4011, 1551, 1544, 2030, 4881, 1544, 43, 2769, 43, 1600, 349, 1]","[0, 4011, 1]"
"[0, 2430, 3957, 4690, 4387, 3213, 4729, 4848, 3662, 4733, 4777, 5327, 4631, 2079, 4629, 1343, 43, 2414, 2709, 4631, 2430, 1399, 4631, 2430, 3587, 5329, 325, 4631, 3152, 2467, 4406, 3740, 2619, 3606, 1]","[0, 4387, 1]"
"[0, 4940, 4946, 1229, 3415, 1426, 1600, 43, 4678, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 4733, 4777, 3524, 5206, 3081, 2799, 3152, 186, 2563, 3138, 3605, 194, 1]","[0, 4940, 1]"
"[0, 2430, 3212, 3956, 4690, 3890, 1343, 43, 526, 183, 775, 1645, 325, 4800, 3152, 3589, 3138, 3271, 3140, 4549, 2645, 4720, 3451, 4310, 1887, 4267, 3762, 4627, 5286, 798, 3138, 3605, 194, 1]","[0, 3890, 1]"
"[0, 4098, 2036, 1833, 3438, 1426, 43, 4217, 4918, 2430, 3957, 4690, 4844, 3154, 5337, 4631, 3213, 4729, 5034, 4777, 3081, 2799, 4092, 2467, 5120, 3152, 325, 2563, 3138, 3605, 194, 3327, 2583, 1]","[0, 4098, 1]"
"[0, 2430, 3212, 3957, 4690, 4543, 4030, 1204, 1645, 4896, 3327, 4848, 4729, 3589, 2992, 1309, 2547, 3152, 3605, 194, 4627, 5286, 3762, 794, 3140, 4549, 2491, 1]","[0, 4030, 1]"
"[0, 2430, 3957, 4690, 3, 4533, 3172, 1545, 1645, 1200, 5009, 3152, 1309, 4631, 1]","[0, 4533, 1]"
"[0, 2430, 3957, 4690, 2436, 3327, 4908, 4736, 1897, 5240, 2456, 2624, 3589, 4456, 4963, 325, 4631, 3152, 3140, 4549, 2491, 3605, 194, 1]","[0, 4956, 1]"
"[0, 3885, 3172, 1343, 43, 1606, 875, 43, 1507, 4946, 2430, 3957, 4690, 4844, 3154, 5337, 4631, 4848, 4729, 4733, 4777, 3081, 2799, 4092, 2467, 5163, 3152, 1309, 2563, 3138, 3605, 194, 3327, 2583, 1]","[0, 3885, 1]"
"[0, 2430, 3957, 4690, 2436, 3327, 4533, 4735, 3172, 3540, 4027, 1309, 4631, 3152, 3140, 4627, 5286, 2491, 3138, 3605, 194, 3589, 4456, 5011, 1]","[0, 4533, 1]"
"[0, 2430, 3212, 3957, 4690, 4848, 4729, 3782, 183, 183, 775, 4193, 1833, 3138, 3605, 194, 2813, 3772, 2086, 1]","[0, 3782, 1]"
"[0, 2430, 3957, 4690, 2746, 2766, 4881, 775, 43, 1645, 2385, 1000, 347, 3152, 3138, 3605, 194, 3140, 4942, 3475, 3, 3452, 4627, 5286, 1]","[0, 2766, 1]"
"[0, 2430, 3957, 4690, 3213, 4729, 3755, 4631, 5337, 5329, 1426, 43, 1322, 325, 2563, 3152, 3140, 2435, 4630, 3156, 3453, 3177, 3666, 2077, 3138, 3605, 194, 1]","[0, 3755, 1]"
