,descVec,wordIdVec
0,"[2427, 3953, 4687, 2416, 2337, 772, 40, 4878, 4395, 3135, 3602, 191, 435, 2456, 4628, 3660, 4624, 5283, 4428, 1884, 2902, 4626, 3361, 396, 393, 397, 4546, 52, 793, 3061, 52, 803]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[2427, 3209, 3954, 4687, 0, 3730, 4945, 40, 1200, 1423, 1830, 3101, 3411, 3817, 1312, 2176, 3135, 3602, 191, 3124, 1949, 2050]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"[2427, 3209, 3954, 4687, 2195, 2433, 3324, 2591, 2034, 1423, 40, 1642, 2664, 3817, 1312, 3137, 4546, 1949, 2050, 4525, 4304, 3759, 4546, 793, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"[2427, 5288, 4809, 4093, 5335, 3253, 872, 3324, 1201, 2706, 1649, 3737, 283, 791, 3123, 183, 802]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"[2799, 2031, 380, 3412, 772, 183, 40, 2061, 2427, 3954, 4687, 4841, 3151, 3210, 4726, 4730, 4774, 3521, 5063, 3078, 2796, 3149, 322, 2560, 3135, 3602, 191]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"[2427, 3209, 3954, 4687, 3308, 3215, 3196, 4891, 3301, 1078, 1089, 2576, 1360, 191, 2409, 3149, 3137, 4624, 5283, 2836, 2461, 3332, 4624, 5283, 3759, 797, 2711, 4760, 5288, 4809, 3135, 3602, 191]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,"[2427, 3954, 4687, 5031, 4774, 3602, 191, 3661, 3078, 2337, 2414, 2564, 4714, 2981, 4845, 4726, 781, 3654, 4626, 1200, 40, 2706, 1642, 3215, 1200, 1659, 3215, 4644, 2983, 5030, 3215, 997, 3759, 4624, 5283, 791, 4781, 5327, 3137, 4624, 5283, 4428, 1908]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"[2427, 3209, 3954, 4687, 5031, 4774, 4628, 5334, 4008, 1201, 2706, 1642, 3215, 4773, 3768, 5030, 2706, 1041, 3521, 4765, 1201, 3135, 3602, 191, 2641, 3137, 4541, 3177, 4132, 5349, 5345, 4624, 5283, 3737, 3759, 793]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"[2427, 3954, 4687, 3324, 4529, 3908, 2781, 1200, 1423, 4878, 40, 3642, 180, 772, 2435, 4650, 1310, 1830, 3135, 3602, 191, 4546, 797, 3361, 4546, 474, 3143, 2711, 287]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"[4457, 3509, 5027, 4625, 4725, 2079, 772, 163, 2576, 462, 2578, 2079, 2574, 5343, 4625, 3133, 3597, 2075, 4725, 2576, 180, 1423, 772, 40, 772, 1200, 772, 1412, 0, 772, 163, 3488, 3821, 462, 4701, 3521, 3321, 3972, 4618, 3506, 180, 1423, 772, 163, 3137, 4546]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,"[2427, 3954, 4687, 3324, 2588, 3752, 4878, 183, 40, 1205, 2456, 772, 3642, 180, 772, 2436, 4463, 1541, 781, 3513, 459, 3135, 3602, 191]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"[2427, 3209, 3954, 4687, 3779, 180, 180, 772, 4190, 1830, 1200, 3361, 843, 924, 926, 3759, 4546, 793, 3061, 803, 3660, 4546, 3893, 4525, 3135, 3602, 191]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"[2427, 3209, 3954, 4687, 3596, 1379, 3324, 3210, 4845, 4726, 2423, 3309, 4013, 322, 4628, 3149, 3137, 4624, 5283, 3450, 3174, 3663, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,"[2427, 3954, 4687, 5031, 4774, 3602, 191, 3661, 3078, 2337, 3971, 2564, 4714, 2981, 4845, 4726, 386, 3654, 4626, 40, 2706, 1642, 3215, 180, 772, 3215, 4773, 5030, 3215, 1316, 3759, 4624, 5283, 791, 4781, 5327, 3137, 4624, 5283, 4428, 1908]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,"[2427, 3954, 4687, 3752, 2588, 3535, 1633, 2456, 2781, 1200, 4878, 772, 40, 3642, 1200, 1659, 2435, 2539, 971, 3513, 3135, 3602, 191, 4546, 3759, 797, 3361, 558, 3143, 4631, 2715, 183, 804]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"[2427, 3209, 3954, 4687, 3210, 4726, 2711, 4760, 5288, 4809, 1611, 2328, 1541, 40, 1200, 1659, 4156, 1673, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,"[2427, 3209, 3954, 4687, 2221, 0, 2433, 3324, 4305, 772, 40, 1200, 1603, 3090, 3411, 754, 1311, 3137, 4546, 1949, 2050, 4525, 4304, 3759, 4546, 797, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,"[2427, 3954, 4687, 3210, 4845, 4726, 4008, 1548, 1541, 2027, 4878, 1541, 40, 2766, 40, 1597, 346]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,"[2427, 3954, 4687, 4384, 3210, 4726, 4845, 3659, 4730, 4774, 5324, 4628, 2076, 4626, 1340, 40, 2411, 2706, 4628, 2427, 1396, 4628, 2427, 3584, 5326, 322, 4628, 3149, 2464, 4403, 3737, 2616, 3603]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,"[4937, 4943, 1226, 3412, 1423, 1597, 40, 4675, 2427, 3954, 4687, 4841, 3151, 4845, 4726, 4730, 4774, 3521, 5203, 3078, 2796, 3149, 183, 2560, 3135, 3602, 191]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,"[2427, 3209, 3953, 4687, 3887, 1340, 40, 523, 180, 772, 1642, 322, 4797, 3149, 3586, 3135, 3268, 3137, 4546, 2642, 4717, 3448, 4307, 1884, 4264, 3759, 4624, 5283, 795, 3135, 3602, 191]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"[4095, 2033, 1830, 3435, 1423, 40, 4214, 4915, 2427, 3954, 4687, 4841, 3151, 5334, 4628, 3210, 4726, 5031, 4774, 3078, 2796, 4089, 2464, 5117, 3149, 322, 2560, 3135, 3602, 191, 3324, 2580]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,"[2427, 3209, 3954, 4687, 4540, 4027, 1201, 1642, 4893, 3324, 4845, 4726, 3586, 2989, 1306, 2544, 3149, 3602, 191, 4624, 5283, 3759, 791, 3137, 4546, 2488]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,"[2427, 3954, 4687, 0, 4530, 3169, 1542, 1642, 1197, 5006, 3149, 1306, 4628]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
24,"[2427, 3954, 4687, 2433, 3324, 4905, 4733, 1894, 5237, 2453, 2621, 3586, 4453, 4960, 322, 4628, 3149, 3137, 4546, 2488, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,"[3882, 3169, 1340, 40, 1603, 872, 40, 1504, 4943, 2427, 3954, 4687, 4841, 3151, 5334, 4628, 4845, 4726, 4730, 4774, 3078, 2796, 4089, 2464, 5160, 3149, 1306, 2560, 3135, 3602, 191, 3324, 2580]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"[2427, 3954, 4687, 2433, 3324, 4530, 4732, 3169, 3537, 4024, 1306, 4628, 3149, 3137, 4624, 5283, 2488, 3135, 3602, 191, 3586, 4453, 5008]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,"[2427, 3209, 3954, 4687, 4845, 4726, 3779, 180, 180, 772, 4190, 1830, 3135, 3602, 191, 2810, 3769, 2083]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,"[2427, 3954, 4687, 2743, 2763, 4878, 772, 40, 1642, 2382, 997, 344, 3149, 3135, 3602, 191, 3137, 4939, 3472, 0, 3449, 4624, 5283]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
