,desc,wordId,wordIdrev
8248,chỉ y tế progut đường kính 20mm loại 3-0 dài 76cm nsx 11 2014 hsd 10 2019,gut,
2679,chỉ khâu phẫu thuật liền kim jbp v lift 29046a 29g cỡ 40mm 100 chiếc hộp hãng sản xuất feeltech co ltd sản xuất năm 2016 dùng trong y tế hàng mới 100,,
7996,chỉ phẫu thuật chủng loại v-loc tm180 absorbable wound closure device mã sp vlocl0325 12 sợi hộp hãng sx covidien mới 100,vloc,
2678,chỉ khâu phẫu thuật liền kim jbp v lift 29046a 29g cỡ 40mm 100 chiếc hộp sản xuất năm 2015 hãng sản xuất feeltech co ltd dùng trong y tế hàng mới 100,,
9099,miếng thấm máu gelatin sponge 70x50x10mm 05170502 dùng 1 lần trong y tế hàng mới 100 hộp 20 cái,spon,
10437,vật liệu cầm máu dùng cho y tế absorbable hemostat pahacel fibril oxidized regenerated cellulose 5 1x10 2cm code pcf15 nsx 2015 hsd 2018 nsx altaylar medical co ltd hộp 10 cái,pahacel fibri,
11530,miếng ghép sọ não sinh học tự tiêu - osteomesh 25x25x1 25mm sn 17001886 to 93 nsx 06-2016 hsd 06-2019 sn 17003226 to 27 nsx 08-2016 hsd 08-2019,mesh,
11602,miếng ghép thành bụng -optilene mesh lp 15 x 15 cm pac 5pcs 1064705,optilene,
5450,chỉ phẫu thuật không tự tiêu 6 0 black mono 1000 yds hãng sản xuất ashaway line twine mfg co mỹ mới 100,,
3178,chỉ khâu phẫu thuật -safil violet 3 0 2 70cm ds24 m pac 36pcs c1048235 năm sản xuất 2014 hàng mới 100,safil,
7929,chỉ phẫu thuật chủng loại polysorttm braided absorbable suture mã sp cl812 36 sợi hộp hsx covidien mới 100,polysort,
10489,vật liệu cầm máu và co nướu 4008104 dùng trong nha khoa hãng sản xuất premier dental products hàng mới 100,,
11552,miếng ghép sọ não sinh học tự tiêu - osteomesh-osteostrip 100x4x3 5mm sn 17005782 to 5810 nsx 12-2016 hsd 12-2019 mới 100,mesh,
7912,chỉ phẫu thuật chủng loại polysorbtm braided absorbable suture mã sp gl123 sợi dài 75cm kim dài 26mm 36 sợi hộp mới 100,polysorb,
1640,chỉ khâu phẫu thuật c1048042 -safil violet 2 0 3 70cm hr26 m pac 36pcs hãng sx b braun surgical sa năm 2014hàng mới 100,safil,
