descVec,wordIdVec
"[2427, 3953, 4687, 2416, 2337, 772, 40, 4878, 4395, 3135, 3602, 191, 435, 2456, 4628, 3660, 4624, 5283, 4428, 1884, 2902, 4626, 3361, 396, 393, 397, 4546, 52, 793, 3061, 52, 803]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[2427, 3209, 3954, 4687, 0, 3730, 4945, 40, 1200, 1423, 1830, 3101, 3411, 3817, 1312, 2176, 3135, 3602, 191, 3124, 1949, 2050]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[2427, 3209, 3954, 4687, 2195, 2433, 3324, 2591, 2034, 1423, 40, 1642, 2664, 3817, 1312, 3137, 4546, 1949, 2050, 4525, 4304, 3759, 4546, 793, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[2427, 5288, 4809, 4093, 5335, 3253, 872, 3324, 1201, 2706, 1649, 3737, 283, 791, 3123, 183, 802]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[2799, 2031, 380, 3412, 772, 183, 40, 2061, 2427, 3954, 4687, 4841, 3151, 3210, 4726, 4730, 4774, 3521, 5063, 3078, 2796, 3149, 322, 2560, 3135, 3602, 191]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[2427, 3209, 3954, 4687, 3308, 3215, 3196, 4891, 3301, 1078, 1089, 2576, 1360, 191, 2409, 3149, 3137, 4624, 5283, 2836, 2461, 3332, 4624, 5283, 3759, 797, 2711, 4760, 5288, 4809, 3135, 3602, 191]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"[2427, 3954, 4687, 5031, 4774, 3602, 191, 3661, 3078, 2337, 2414, 2564, 4714, 2981, 4845, 4726, 781, 3654, 4626, 1200, 40, 2706, 1642, 3215, 1200, 1659, 3215, 4644, 2983, 5030, 3215, 997, 3759, 4624, 5283, 791, 4781, 5327, 3137, 4624, 5283, 4428, 1908]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[2427, 3209, 3954, 4687, 5031, 4774, 4628, 5334, 4008, 1201, 2706, 1642, 3215, 4773, 3768, 5030, 2706, 1041, 3521, 4765, 1201, 3135, 3602, 191, 2641, 3137, 4541, 3177, 4132, 5349, 5345, 4624, 5283, 3737, 3759, 793]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[2427, 3954, 4687, 3324, 4529, 3908, 2781, 1200, 1423, 4878, 40, 3642, 180, 772, 2435, 4650, 1310, 1830, 3135, 3602, 191, 4546, 797, 3361, 4546, 474, 3143, 2711, 287]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[4457, 3509, 5027, 4625, 4725, 2079, 772, 163, 2576, 462, 2578, 2079, 2574, 5343, 4625, 3133, 3597, 2075, 4725, 2576, 180, 1423, 772, 40, 772, 1200, 772, 1412, 0, 772, 163, 3488, 3821, 462, 4701, 3521, 3321, 3972, 4618, 3506, 180, 1423, 772, 163, 3137, 4546]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
